id,match_id,fecha,deporte,partido,home_team,away_team,seleccion,casa,cuota,prob_real,prob_modelo,prob_sharp,edge_pct,stake_eur,factor_conf,n_sharp,fair_open,creada
34f347297729492d382764c22582708e|Vilius Gaubas|Betfair,34f347297729492d382764c22582708e,2026-04-25T12:00:00Z,tennis_atp_madrid_open,Vilius Gaubas vs Felix Auger-Aliassime,Vilius Gaubas,Felix Auger-Aliassime,Vilius Gaubas,Betfair,4.3,0.2451,,,5.39,0.02,,,,2026-04-24T19:45:48
34f347297729492d382764c22582708e|Vilius Gaubas|Matchbook,34f347297729492d382764c22582708e,2026-04-25T12:00:00Z,tennis_atp_madrid_open,Vilius Gaubas vs Felix Auger-Aliassime,Vilius Gaubas,Felix Auger-Aliassime,Vilius Gaubas,Matchbook,4.3,0.2451,,,5.39,0.02,,,,2026-04-24T19:45:48
34f347297729492d382764c22582708e|Vilius Gaubas|Smarkets,34f347297729492d382764c22582708e,2026-04-25T12:00:00Z,tennis_atp_madrid_open,Vilius Gaubas vs Felix Auger-Aliassime,Vilius Gaubas,Felix Auger-Aliassime,Vilius Gaubas,Smarkets,4.3,0.2451,,,5.39,0.02,,,,2026-04-24T19:45:48
321062d5453eabc574404b03be6c0ce9|Terence Atmane|BoyleSports,321062d5453eabc574404b03be6c0ce9,2026-04-25T12:00:00Z,tennis_atp_madrid_open,Ugo Humbert vs Terence Atmane,Ugo Humbert,Terence Atmane,Terence Atmane,BoyleSports,2.05,0.5138,,,5.33,0.05,,,,2026-04-24T19:45:48
321062d5453eabc574404b03be6c0ce9|Ugo Humbert|Matchbook,321062d5453eabc574404b03be6c0ce9,2026-04-25T12:00:00Z,tennis_atp_madrid_open,Ugo Humbert vs Terence Atmane,Ugo Humbert,Terence Atmane,Ugo Humbert,Matchbook,2.12,0.4862,,,3.07,0.03,,,,2026-04-24T19:45:48
73df6bbdec9d5310ae64a772ba0d05a4|Mariano Navone|Betfair,73df6bbdec9d5310ae64a772ba0d05a4,2026-04-25T14:00:00Z,tennis_atp_madrid_open,Mariano Navone vs Alexander Zverev,Mariano Navone,Alexander Zverev,Mariano Navone,Betfair,4.6,0.2286,,,5.14,0.01,,,,2026-04-24T19:45:48
73df6bbdec9d5310ae64a772ba0d05a4|Mariano Navone|Smarkets,73df6bbdec9d5310ae64a772ba0d05a4,2026-04-25T14:00:00Z,tennis_atp_madrid_open,Mariano Navone vs Alexander Zverev,Mariano Navone,Alexander Zverev,Mariano Navone,Smarkets,4.6,0.2286,,,5.14,0.01,,,,2026-04-24T19:45:48
73df6bbdec9d5310ae64a772ba0d05a4|Mariano Navone|BetOnline.ag,73df6bbdec9d5310ae64a772ba0d05a4,2026-04-25T14:00:00Z,tennis_atp_madrid_open,Mariano Navone vs Alexander Zverev,Mariano Navone,Alexander Zverev,Mariano Navone,BetOnline.ag,4.51,0.2286,,,3.09,0.01,,,,2026-04-24T19:45:48
73df6bbdec9d5310ae64a772ba0d05a4|Mariano Navone|Matchbook,73df6bbdec9d5310ae64a772ba0d05a4,2026-04-25T14:00:00Z,tennis_atp_madrid_open,Mariano Navone vs Alexander Zverev,Mariano Navone,Alexander Zverev,Mariano Navone,Matchbook,4.6,0.2286,,,5.14,0.01,,,,2026-04-24T19:45:48
8b45b7c384ea73d5baadc160b8729234|Emilio Nava|1xBet,8b45b7c384ea73d5baadc160b8729234,2026-04-26T09:00:00Z,tennis_atp_madrid_open,Arthur Fils vs Emilio Nava,Arthur Fils,Emilio Nava,Emilio Nava,1xBet,5.32,0.2007,,,6.76,0.02,,,,2026-04-24T19:45:48
